universe,top_n,weighting,mode,interval,train_cagr,train_vol,train_sharpe,train_maxdd,train_mult,train_xsp,test_cagr,test_vol,test_sharpe,test_maxdd,test_mult,test_xsp,full_cagr,full_vol,full_sharpe,full_maxdd,full_mult,full_xsp,config
nasdaq10,1,capweight,full,M,0.13513153324400418,0.27920122189249796,0.4839933447570457,-0.5794192461835603,4.5687849652830534,1.6818951597053353,0.24143483710561164,0.2818342215685175,0.8566555039410491,-0.3650952633346978,6.20572503636191,1.9634284294474114,0.17882696194598258,0.28036434156211243,0.6378377540795962,-0.5794192461835603,28.860267010612002,3.333575764656857,nasdaq10/top1/cap/full/M
nasdaq10,1,capweight,full,Q,0.13513153324400418,0.27920122189249796,0.4839933447570457,-0.5794192461835603,4.5687849652830534,1.6818951597053353,0.24143483710561164,0.2818342215685175,0.8566555039410491,-0.3650952633346978,6.20572503636191,1.9634284294474114,0.17882696194598258,0.28036434156211243,0.6378377540795962,-0.5794192461835603,28.860267010612002,3.333575764656857,nasdaq10/top1/cap/full/Q
nasdaq10,1,capweight,full,SA,0.13513153324400418,0.27920122189249796,0.4839933447570457,-0.5794192461835603,4.5687849652830534,1.6818951597053353,0.24143483710561164,0.2818342215685175,0.8566555039410491,-0.3650952633346978,6.20572503636191,1.9634284294474114,0.17882696194598258,0.28036434156211243,0.6378377540795962,-0.5794192461835603,28.860267010612002,3.333575764656857,nasdaq10/top1/cap/full/SA
nasdaq10,1,capweight,full,A,0.13513153324400418,0.27920122189249796,0.4839933447570457,-0.5794192461835603,4.5687849652830534,1.6818951597053353,0.24143483710561164,0.2818342215685175,0.8566555039410491,-0.3650952633346978,6.20572503636191,1.9634284294474114,0.17882696194598258,0.28036434156211243,0.6378377540795962,-0.5794192461835603,28.860267010612002,3.333575764656857,nasdaq10/top1/cap/full/A
nasdaq10,3,capweight,full,M,0.14980762688948057,0.23177211985874155,0.6463574090826111,-0.5895121251822009,5.329326246604339,1.9618712823572613,0.21708637431549227,0.2485914673873243,0.8732655895113861,-0.3477066822907724,5.250254579581519,1.6611272724758284,0.177860278391627,0.2394342272235349,0.7428356440684535,-0.5895121251822009,28.380404811718172,3.2781481071088785,nasdaq10/top3/cap/full/M
nasdaq10,3,capweight,full,Q,0.15021960123178157,0.23174003374879737,0.6482246455293836,-0.5895239656746619,5.352259083168542,1.9703134890071115,0.21709052976641918,0.24859163835281678,0.8732817049071889,-0.3477087439867017,5.250405888991126,1.6611751452376289,0.17810948381285252,0.2394171245180143,0.7439295922186683,-0.5895239656746619,28.503379340155327,3.292352580945433,nasdaq10/top3/cap/full/Q
nasdaq10,3,capweight,full,SA,0.14927433915960298,0.23182082469859996,0.6439211807381017,-0.5895364591241568,5.2997741656574044,1.9509923501506568,0.21708902984603284,0.24858989337860166,0.8732818011849215,-0.3477022267087815,5.250351273038639,1.6611578653044727,0.17754097898968202,0.23945956114047856,0.7414236380627454,-0.5895364591241568,28.223578591129055,3.260033510732262,nasdaq10/top3/cap/full/SA
nasdaq10,3,capweight,full,A,0.14950243030629418,0.23177347105745333,0.6450368526829141,-0.589513814012256,5.312395379876334,1.9556385655592883,0.21710858678820721,0.2485893851867255,0.8733622581073935,-0.34768335200841005,5.251063430825789,1.6613831848017675,0.17768584472524473,0.23943401985262885,0.7421077624416531,-0.589513814012256,28.294628032739563,3.2682402503496784,nasdaq10/top3/cap/full/A
nasdaq10,3,capweight,drift_band,M,0.14435805935812374,0.225389449601933,0.6404827715453354,-0.5808951603122974,5.034328162307847,1.8532743897762427,0.2189640838241289,0.2476099447224456,0.8843105395850445,-0.3440003161961951,5.319019117421109,1.682883674466081,0.1765347740034766,0.23591693601215172,0.7482920768112366,-0.5808951603122974,27.734746951518968,3.203569815985347,nasdaq10/top3/cap/drift_band/M
nasdaq10,3,capweight,drift_band,Q,0.14378702376502894,0.22524638883687756,0.6383544016288708,-0.5812192182115401,5.004299346440521,1.8422199583589811,0.2189640838241289,0.2476099447224456,0.8843105395850445,-0.3440003161961951,5.319019117421109,1.682883674466081,0.1761811113727112,0.23584043583076358,0.7470352179095223,-0.5812192182115401,27.56485222601244,3.1839457099684716,nasdaq10/top3/cap/drift_band/Q
nasdaq10,3,capweight,drift_band,SA,0.14399587952174042,0.22339142067207926,0.6445900164318077,-0.5713940110364139,5.015263264069048,1.8462560773995904,0.2189640838241289,0.2476099447224456,0.8843105395850445,-0.3440003161961951,5.319019117421109,1.682883674466081,0.17579943098307615,0.23496081074210728,0.7482074582047361,-0.5713940110364139,27.382608850347914,3.16289524289687,nasdaq10/top3/cap/drift_band/SA
nasdaq10,3,capweight,drift_band,A,0.14399587952174042,0.22339142067207926,0.6445900164318077,-0.5713940110364139,5.015263264069048,1.8462560773995904,0.2189640838241289,0.2476099447224456,0.8843105395850445,-0.3440003161961951,5.319019117421109,1.682883674466081,0.17579943098307615,0.23496081074210728,0.7482074582047361,-0.5713940110364139,27.382608850347914,3.16289524289687,nasdaq10/top3/cap/drift_band/A
nasdaq10,3,capweight,no_sell,M,0.1430904922748264,0.23023067698031238,0.6215092365256887,-0.5894794974091415,4.967893416208039,1.8288179360909471,0.21718035038475692,0.2444395908589426,0.8884827110927541,-0.3344775784241867,5.253677401458073,1.6622102185847814,0.17532640458294324,0.23637878382789754,0.7417180245355469,-0.5894794974091415,27.158339802505534,3.136990497719872,nasdaq10/top3/cap/no_sell/M
nasdaq10,3,capweight,no_sell,Q,0.1430904922748264,0.23023067698031238,0.6215092365256887,-0.5894794974091415,4.967893416208039,1.8288179360909471,0.21718035038475692,0.2444395908589426,0.8884827110927541,-0.3344775784241867,5.253677401458073,1.6622102185847814,0.17532640458294324,0.23637878382789754,0.7417180245355469,-0.5894794974091415,27.158339802505534,3.136990497719872,nasdaq10/top3/cap/no_sell/Q
nasdaq10,3,capweight,no_sell,SA,0.1430904922748264,0.23023067698031238,0.6215092365256887,-0.5894794974091415,4.967893416208039,1.8288179360909471,0.21718035038475692,0.2444395908589426,0.8884827110927541,-0.3344775784241867,5.253677401458073,1.6622102185847814,0.17532640458294324,0.23637878382789754,0.7417180245355469,-0.5894794974091415,27.158339802505534,3.136990497719872,nasdaq10/top3/cap/no_sell/SA
nasdaq10,3,capweight,no_sell,A,0.1430904922748264,0.23023067698031238,0.6215092365256887,-0.5894794974091415,4.967893416208039,1.8288179360909471,0.21718035038475692,0.2444395908589426,0.8884827110927541,-0.3344775784241867,5.253677401458073,1.6622102185847814,0.17532640458294324,0.23637878382789754,0.7417180245355469,-0.5894794974091415,27.158339802505534,3.136990497719872,nasdaq10/top3/cap/no_sell/A
nasdaq10,3,equal,full,M,0.16249372741290702,0.23126972272652038,0.7026156536930607,-0.5829789495233229,6.078441896180359,2.23764131632807,0.21702301159480175,0.24842981422309507,0.8735787702192244,-0.35357101090789866,5.247947875081571,1.6603974545791291,0.185411264085926,0.2390883130513681,0.7754927947736635,-0.5829789495233229,32.339982739015916,3.7355088450347087,nasdaq10/top3/equal/full/M
nasdaq10,3,equal,full,Q,0.16386704804278618,0.23115696567740712,0.7088994595623482,-0.5844159681335486,6.165074100594388,2.2695330088427625,0.21689618207337746,0.24863289426808444,0.872355135115439,-0.3554416122490991,5.24333336074254,1.6589374690676444,0.18617331447687602,0.2391222986777336,0.7785694412706479,-0.5844159681335486,32.76755517888251,3.784896646008635,nasdaq10/top3/equal/full/Q
nasdaq10,3,equal,full,SA,0.16416216993345012,0.23138548692937672,0.7094747908003217,-0.5906933559150188,6.183838164513339,2.276440575848322,0.21678284861633235,0.24856865541682424,0.8721246379709849,-0.3560412548909416,5.2392129083341485,1.6576337997375634,0.18629759925857958,0.23921394934444967,0.7787907008312688,-0.5906933559150188,32.837796997972866,3.7930100992105378,nasdaq10/top3/equal/full/SA
nasdaq10,3,equal,full,A,0.15881157640131582,0.23183204964793766,0.6850285654743966,-0.5945445891949419,5.851640182247017,2.154149379680592,0.21515427393988173,0.24890448112860278,0.8644049836479917,-0.3552584391984773,5.180317394230197,1.6389998567122033,0.1824553265176676,0.2396094569401896,0.7614696383340638,-0.5945445891949419,30.731137885181145,3.549675283208533,nasdaq10/top3/equal/full/A
nasdaq10,3,equal,drift_band,M,0.16149723798868232,0.22853667093236793,0.7066578738975114,-0.5731132104647221,6.016281192331407,2.2147582549185576,0.22074164870157698,0.24533734778447705,0.8997474322396817,-0.3462090335906538,5.384846496438099,1.7037107892094274,0.18666365544295838,0.23633588287599577,0.7898235899323838,-0.5731132104647221,33.045513339862424,3.8170028835805367,nasdaq10/top3/equal/drift_band/M
nasdaq10,3,equal,drift_band,Q,0.15946195939518226,0.2243118343459621,0.7108940991015206,-0.5752185952221951,5.891127613194329,2.168685786949514,0.2157580152271008,0.247368204434638,0.8722140168346109,-0.34805352594324224,5.20208256179515,1.6458861348696008,0.1830568630470193,0.2348179798867129,0.7795691928502853,-0.5752185952221951,31.052240731967824,3.586765053293363,nasdaq10/top3/equal/drift_band/Q
nasdaq10,3,equal,drift_band,SA,0.15932749470809138,0.22888127327799196,0.696114157467908,-0.59301734058462,5.882943736910582,2.1656730774405633,0.218838155393819,0.24762108352794454,0.8837622074661614,-0.3491347251652258,5.314382718272042,1.681416764822775,0.1840324168224674,0.23733867092158398,0.775400047989951,-0.59301734058462,31.57978924650307,3.6477008354220857,nasdaq10/top3/equal/drift_band/SA
nasdaq10,3,equal,drift_band,A,0.15513925763627712,0.2304488907889925,0.6732046186255171,-0.59301734058462,5.633193984347846,2.073733337845739,0.21566672429493927,0.24848321268926982,0.8679327748576408,-0.3491347251652258,5.198786315023817,1.64484323583953,0.18110732278113417,0.2388198996732168,0.75834268010726,-0.59301734058462,30.02299681456974,3.4678797159644628,nasdaq10/top3/equal/drift_band/A
nasdaq10,3,equal,no_sell,M,0.15005613897457448,0.23357898493079274,0.6424214019897154,-0.5957787243477365,5.343149041105202,1.9669598324512716,0.21723337335360826,0.24383883254983374,0.8908891626571085,-0.3352995898020976,5.2556094863140554,1.6628215106275506,0.17983331729391794,0.23888494400865118,0.7528030619100269,-0.5957787243477365,29.36801539588433,3.3922244844024196,nasdaq10/top3/equal/no_sell/M
nasdaq10,3,equal,no_sell,Q,0.15005613897457448,0.23357898493079274,0.6424214019897154,-0.5957787243477365,5.343149041105202,1.9669598324512716,0.21723337335360826,0.24383883254983374,0.8908891626571085,-0.3352995898020976,5.2556094863140554,1.6628215106275506,0.17983331729391794,0.23888494400865118,0.7528030619100269,-0.5957787243477365,29.36801539588433,3.3922244844024196,nasdaq10/top3/equal/no_sell/Q
nasdaq10,3,equal,no_sell,SA,0.15005613897457448,0.23357898493079274,0.6424214019897154,-0.5957787243477365,5.343149041105202,1.9669598324512716,0.21723337335360826,0.24383883254983374,0.8908891626571085,-0.3352995898020976,5.2556094863140554,1.6628215106275506,0.17983331729391794,0.23888494400865118,0.7528030619100269,-0.5957787243477365,29.36801539588433,3.3922244844024196,nasdaq10/top3/equal/no_sell/SA
nasdaq10,3,equal,no_sell,A,0.15005613897457448,0.23357898493079274,0.6424214019897154,-0.5957787243477365,5.343149041105202,1.9669598324512716,0.21723337335360826,0.24383883254983374,0.8908891626571085,-0.3352995898020976,5.2556094863140554,1.6628215106275506,0.17983331729391794,0.23888494400865118,0.7528030619100269,-0.5957787243477365,29.36801539588433,3.3922244844024196,nasdaq10/top3/equal/no_sell/A
nasdaq10,5,capweight,full,M,0.13716425884502903,0.22571525939547626,0.6076871329496744,-0.584927361040634,4.667821477382631,1.718353218379598,0.24051177527939416,0.24932893109434384,0.9646364512283039,-0.4143216981782408,6.166884826505723,1.9511397811765805,0.1796383532512873,0.23658176207022671,0.759307698443651,-0.584927361040634,29.268989060985223,3.3807862052638007,nasdaq10/top5/cap/full/M
nasdaq10,5,capweight,full,Q,0.13729704387686814,0.2256908893499483,0.6083410999545498,-0.584934803057201,4.6743588656427235,1.7207598104506439,0.24050342161612304,0.2493281694295852,0.964605893374778,-0.41432908975878546,6.16653430527219,1.9510288798151745,0.17971587860995664,0.23656854749133344,0.7596778207235704,-0.584934803057201,29.30832772714549,3.385330114163797,nasdaq10/top5/cap/full/Q
nasdaq10,5,capweight,full,SA,0.13666355813709763,0.22571997121733026,0.6054562093024266,-0.5849451144069171,4.643245849162103,1.7093062550261227,0.24050233464665816,0.2493264005972969,0.9646083770932422,-0.41431733773879587,6.166488697126656,1.9510144498607322,0.17933001291906292,0.2365831567161964,0.7579999160049505,-0.5849451144069171,29.11302452931631,3.3627711403745404,nasdaq10/top5/cap/full/SA
nasdaq10,5,capweight,full,A,0.13753897474361487,0.22574677199772625,0.6092621990847346,-0.5849261967628756,4.686291394778161,1.72515250197551,0.24050740447519092,0.2493240959322952,0.9646376278869633,-0.4142977594712025,6.166701424573958,1.9510817546664252,0.1798646041076244,0.23659596241913056,0.7602184004687013,-0.5849261967628756,29.383936266060022,3.3940634634718236,nasdaq10/top5/cap/full/A
nasdaq10,5,capweight,drift_band,M,0.12769074167213446,0.22424917670738967,0.5694145394288382,-0.5822096007048073,4.222461869197937,1.554404121403944,0.24192080442587982,0.24548280466346878,0.9854898177390792,-0.39756566911339175,6.226259886201282,1.969925447560978,0.1726479397302214,0.23301791058496582,0.7409213278790792,-0.5822096007048073,25.921027206566013,2.994071678513799,nasdaq10/top5/cap/drift_band/M
